AccountID,Date,Valuation
A001,2025-01-01,996215.24
A001,2025-01-02,1002147.0
A001,2025-01-03,1003826.04
A001,2025-01-06,1008074.58
A001,2025-01-07,1002907.44
A001,2025-01-08,1005313.96
A001,2025-01-09,1007160.95
A001,2025-01-10,1008162.73
A001,2025-01-13,996159.7
A001,2025-01-14,1001056.65
A001,2025-01-15,995352.36
A001,2025-01-16,1008305.03
A001,2025-01-17,990443.04
A001,2025-01-20,999819.0
A001,2025-01-21,993423.15
A001,2025-01-22,993648.13
A001,2025-01-23,1001932.63
A001,2025-01-24,1008007.15
A001,2025-01-27,1008409.68
A001,2025-01-28,998099.87
A001,2025-01-29,1001968.98
A001,2025-01-30,1002647.3
A001,2025-01-31,1006169.03
A001,2025-02-03,1006446.12
A001,2025-02-04,990455.07
A001,2025-02-07,992397.06
A001,2025-02-10,1006990.79
A001,2025-02-11,993923.49
A001,2025-02-12,998346.91
A001,2025-02-13,994919.57
A001,2025-02-17,990501.43
A001,2025-02-18,1003115.82
A001,2025-02-19,1008328.07
A001,2025-02-20,998342.34
A001,2025-02-24,1001782.63
A001,2025-02-25,1008120.07
A001,2025-02-26,997960.99
A001,2025-02-27,1003129.29
A001,2025-02-28,1009091.95
A001,2025-03-03,1006005.99
A001,2025-03-04,1006380.35
A001,2025-03-05,993668.52
A001,2025-03-06,1007613.39
A001,2025-03-07,1008703.78
A001,2025-03-10,993552.04
A001,2025-03-11,1006167.81
A001,2025-03-12,1008509.85
A001,2025-03-13,1006114.13
A001,2025-03-14,1499842.72
A001,2025-03-17,1006970.06
A001,2025-03-18,1002111.99
A001,2025-03-19,995835.19
A001,2025-03-20,1007655.51
A001,2025-03-21,1009652.21
A001,2025-03-24,996096.93
A001,2025-03-25,999651.24
A001,2025-03-26,995975.1
A001,2025-03-27,999052.27
A001,2025-03-28,997627.14
A001,2025-03-31,999457.47
A002,2025-01-01,1096623.46
A002,2025-01-02,1104938.05
A002,2025-01-03,1104233.52
A002,2025-01-06,1090525.02
A002,2025-01-07,1104413.32
A002,2025-01-08,1109533.54
A002,2025-01-09,1101335.66
A002,2025-01-10,1090487.54
A002,2025-01-13,1104026.35
A002,2025-01-14,1091807.11
A002,2025-01-15,1105201.39
A002,2025-01-16,1092368.63
A002,2025-01-17,1092755.03
A002,2025-01-20,1105904.89
A002,2025-01-21,1100793.66
A002,2025-01-22,1100085.7
A002,2025-01-23,1099325.2
A002,2025-01-24,1104411.37
A002,2025-01-27,1098283.98
A002,2025-01-28,1105125.24
A002,2025-01-29,1106152.56
A002,2025-01-30,1092779.74
A002,2025-01-31,1096873.23
A002,2025-02-03,1105545.77
A002,2025-02-04,1093402.15
A002,2025-02-05,1107712.92
A002,2025-02-06,1108459.14
A002,2025-02-07,1102187.98
A002,2025-02-10,1090509.78
A002,2025-02-11,1108421.04
A002,2025-02-12,1102127.26
A002,2025-02-13,1097966.38
A002,2025-02-14,1108040.26
A002,2025-02-17,1099698.62
A002,2025-02-18,1093709.79
A002,2025-02-19,1090007.59
A002,2025-02-20,1094398.34
A002,2025-02-21,1097124.19
A002,2025-02-24,1103171.75
A002,2025-02-25,1098873.87
A002,2025-02-26,1098929.05
A002,2025-02-27,1090692.15
A002,2025-02-28,1091387.8
A002,2025-03-03,1200000.0
A002,2025-03-04,1200000.0
A002,2025-03-05,1200000.0
A002,2025-03-06,1200000.0
A002,2025-03-07,1200000.0
A002,2025-03-10,1200000.0
A002,2025-03-11,1200000.0
A002,2025-03-12,1200000.0
A002,2025-03-13,1200000.0
A002,2025-03-14,1200000.0
A002,2025-03-17,1200000.0
A002,2025-03-18,1200000.0
A002,2025-03-19,1200000.0
A002,2025-03-20,1200000.0
A002,2025-03-21,1200000.0
A002,2025-03-24,1200000.0
A002,2025-03-25,1200000.0
A002,2025-03-26,1200000.0
A002,2025-03-27,1200000.0
A002,2025-03-28,1200000.0
A002,2025-03-31,1200000.0
